full_path,emotion_confidence,seed,quality_score,original_caption,emotion_type
15448,0.9976,15448,0.7744,Picture of a woman. The hair is blonde. Hair color is blonde. Eyes are blue. Face looks slightly,sad
02825,0.997,2825,0.648,Picture of a woman. The hair is blonde. Hair color is brown. Eyes are open. Face looks sad,sad
15416,0.997,15416,0.9443,Picture of a man with a pink shirt. The hair is wet. Hair color is brown. Eyes are open. Face looks slightly to the left,sad
09029,0.9966,9029,0.874,Picture of a young man with a cell. The hair is brown. Hair color is brown. Eyes are open. Face looks down,sad
05667,0.996,5667,0.875,Picture of a young boy with a hat on. The hair is brown. Hair color is brown. Eyes are blue. Face looks to the left,sad
18213,0.996,18213,0.9443,Picture of a young boy with a tooth. The hair is brown. Hair color is brown. Eyes are open. Face looks very sad,sad
19461,0.9956,19461,0.942,Picture of a man with a tie and a suit. The hair is brown. Hair color is brown. Eyes are open. Face looks slightly slightly,sad
00907,0.995,907,0.85,Picture of a woman with a cell in her hand. The hair is brown. Hair color is brown. Eyes are open. Face looks slightly to the left,sad
02037,0.995,2037,0.699,Picture of a baby. The hair is brown. Hair color is brown. Eyes are open. Face looks like a baby,sad
00790,0.995,790,0.6655,Picture of a man. The hair is black. Hair color is black. Eyes are open. Face looks slightly slightly,sad
08027,0.9946,8027,0.796,Picture of a woman with a cell in her hand. The hair is gray. Hair color is light gray. Eyes are open. Face looks slightly,sad
00218,0.994,218,0.996,Picture of a woman. The hair is brown. Hair color is brown. Eyes are open. Face looks slightly to the left,sad
19746,0.994,19746,0.999,Picture of a woman. The hair is long. Hair color is brown. Eyes are open. Face looks like a woman,sad
01963,0.9937,1963,0.9917,Picture of a girl. The hair is long. Hair color is blonde. Eyes are open. Face looks very at the camera,sad
16130,0.993,16130,0.9956,Picture of a young girl. The hair is brown. Hair color is brown. Eyes are green. Face looks to the left,sad
14452,0.993,14452,0.951,Picture of a girl. The hair is long. Hair color is brown. Eyes are open. Face looks to the left,sad
03814,0.9927,3814,0.9937,Picture of a young woman. The hair is long. Hair color is dark brown. Eyes are blue. Face looks slightly to the left,sad
16578,0.992,16578,0.983,Picture of a girl. The hair is brown. Hair color is light brown. Eyes are blue. Face looks like a girl,sad
16442,0.9917,16442,0.956,Picture of a woman with long hair. The hair is long. Hair color is blonde. Eyes are open. Face looks sad,sad
09634,0.9917,9634,0.993,Picture of a young boy. The hair is brown. Hair color is red. Eyes are open. Face looks to the left,sad
11334,0.991,11334,0.902,Picture of a young boy. The hair is brown. Hair color is brown. Eyes are blue. Face looks like a boy,sad
08562,0.991,8562,0.9565,Picture of a man. The hair is white. Hair color is white. Eyes are open. Face looks slightly,sad
13702,0.991,13702,0.8887,Picture of a woman with long hair. The hair is long. Hair color is brown. Eyes are open. Face looks very sad,sad
10529,0.991,10529,0.9917,Picture of a woman. The hair is brown. Hair color is brown. Eyes are open. Face looks slightly at camera,sad
18506,0.991,18506,0.9966,Picture of a young man. The hair is brown. Hair color is brown. Eyes are open. Face looks slightly to the left,sad
